mqwAGUzwAL,StaEfXUvuDXmiwbZZcMu,EPxXECuDQGdnuYvcTKnQZexJuTFoRKAWwYpSFErIElVrvhHwev,80,24,ABC
nYEFQceECv,NwtOUGnZdhdGOYQVJcXV,tamIpYyBexRKhJRQVAovXSbUKkVkCWZFkCIxgebBdwHKuDrjGb,91,29,XYZ
nrJZpmwyGM,ZppuRcouUBywVogNgeVW,pjIQwAoDhEqHdRYkgBUOrijnWSGNgpGLzOGewxfjruSmdHoYbo,43,75,GT
pPocyNtLFi,mvIueJxqNeYxJlJFMHgs,uZCfTBMLOWmblLcEIvCmMeQORUErnDROPcgmywLXxnLkzhGJev,12,34,KJ
EaAiCIoDNu,ridXCnSwWmDtQmogvxcM,maQeFAoXGKziioFzxynJIaGmxjvxGvHCaTADgXQJerbnIZGnua,74,3,KJU
yMEPGNNTxj,UNCZkZuVfzPXYneSqWwG,QrvpgiXNPtZkVWrlibGYyijGkoBwpIiECiFVKOjlTlaTfVzRvz,sadf,31,1
BFQdXtXpxd,xgdNoideifRXFWsuEHxk,eOdIXHxVHInOhTyYUEpLOzhPGPzzasmrFUTrDavMsriviwqPwU,67,asdf,1
HWaNwCCRYp,KFFhmmTYmzViJBlbeLFm,zSpbuwtZOjJgZhPPjDhCtpWHBRQOZkywycDEuqFbVMokvqRYPd,48,sdf,0
iuVhLhVygu,qqDHrcbeaGzqLhOoQDKQ,wXwMYIuwAvJjpyLYFLpbYqhUrSKVJNvAUSjeVnxHxrBOTIhRzR,71,sdf,0
qCYeFUNVVx,rXegaCmNBQiVJoRtILwl,qbosSsMUFkBAlIINeUawdYtxVlmtWepwmFJOfbdNwAqpOMUefY,sdf,91,1
ijuYXjzplF,WxJkPbHpsswYushoMHZo,JqqlGuzEGJYJwMNqywMSBqPYeYyogAqxFpDxJlRroKSUofwHzn,18,sdf,1
KnBePjEJQB,FgtEYXEUaNzPKeVarDsw,AVBVjoNkyDhjvIpLrvnFJUMeAPoinjXAntsMEjsIhwmEUNWoiA,95,sdf,0
ONzSGcVFck,QXDUiAXIzBnaSMEZUwCN,RYQHDXKBSvTYskkjPSimVqkechBqbFygUfzVrgjyqVnYoGQAxo,9,4,sdf
YKeMpKIrNq,uqvHnnWhxojFcgSVFugm,umelQnkWQRovXHyhUddLkOVbTQUWpWHAZWcTwCbPPquzspFBBY,98,sdf,0
etACIvcqZg,qsBxZeJTIKCONEEggiAo,lFOkVOkclFTYZuBPXqIPtppJtgYyoyItdaRsRSoWluobAYyGfq,65,sdf,1
ddOggfWBzD,MjhpEudADqDsgGNRTUuB,ZVIpaNENVtcUAhEFEanuVhFafmQKWSHyGwqiFlDLvyqVDwvneD,72,sdf,0
KSxBAyfOUq,QcSmPNsODulzTvLvUihz,YcRLhuLEZgPTebRlGLbmqgXyWvKmdLXBmjLUWhKqnVjTfJYFVl,sd,45,0
hQNIFQBRGm,trSqhXHvJyoLsUmUKRDU,HAwBvPolqTjnvSDyaHLeYrlzaQpysbDsIYSxIOjIjpaTADTuzv,36,sdf,0
